Start time: 1716937837849
[2024-05-28 19:10:39.046608] nuttcp-t: v8.1.4: socket
[2024-05-28 19:10:39.047071] nuttcp-t: buflen=1400, nstream=1, port=5002 udp -> 35.245.244.238
[2024-05-28 19:10:39.047113] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 19:10:39.047145] nuttcp-t: rate limit = 300.000 Mbps (aggregate), 26785 pps
[2024-05-28 19:10:39.047174] nuttcp-t: send window size = 229376, receive window size = 229376
[2024-05-28 19:10:39.047204] nuttcp-t: available send window = 172032, available receive window = 172032
[2024-05-28 19:10:39.047235] nuttcp-r: v8.1.4: socket
[2024-05-28 19:10:39.047263] nuttcp-r: buflen=1400, nstream=1, port=5002 udp
[2024-05-28 19:10:39.047317] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 19:10:39.047359] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 19:10:39.047387] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 19:11:07.015076]     0.9560 MB /   0.50 sec =   16.0392 Mbps     0 /   716 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:07.519701]     0.7250 MB /   0.50 sec =   12.1623 Mbps     0 /   543 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:08.016106]     0.8625 MB /   0.50 sec =   14.4708 Mbps     0 /   646 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:08.519721]     0.9132 MB /   0.50 sec =   15.3221 Mbps     0 /   684 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:09.020382]     0.8999 MB /   0.50 sec =   15.0966 Mbps     0 /   674 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:09.524571]     0.9586 MB /   0.50 sec =   16.0855 Mbps     0 /   718 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:10.019899]     1.0134 MB /   0.50 sec =   16.9992 Mbps     0 /   759 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:10.527931]     1.1095 MB /   0.50 sec =   18.6151 Mbps     0 /   831 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:11.018806]     0.9760 MB /   0.50 sec =   16.3751 Mbps     0 /   731 ~drop/pkt  0.00 ~%loss
[2024-05-28 19:11:11.528146]     0.8158 MB /   0.50 sec =   13.6847 Mbps     0 /   611 ~drop/pkt  0.00 ~%loss
