Start time: 1716999113575
[2024-05-29 12:11:54.448464] nuttcp-t: v8.1.4: socket
[2024-05-29 12:11:54.449346] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-29 12:11:54.449411] nuttcp-t: time limit = 120.00 seconds
[2024-05-29 12:11:54.449451] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=42.345 ms af=inet
[2024-05-29 12:11:54.449489] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-29 12:11:54.449523] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-29 12:11:54.449556] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-29 12:11:54.449588] nuttcp-r: v8.1.4: socket
[2024-05-29 12:11:54.449622] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-29 12:11:54.449654] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-29 12:11:54.449687] nuttcp-r: accept from 98.97.21.16 with af=inet
[2024-05-29 12:11:54.449721] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-29 12:11:54.449754] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-29 12:12:21.422241]     0.3125 MB /   0.50 sec =    5.2426 Mbps     4 retrans     48 KB-cwnd
[2024-05-29 12:12:21.422749]     0.3125 MB /   0.50 sec =    5.2430 Mbps     0 retrans     48 KB-cwnd
[2024-05-29 12:12:21.422905]     0.4375 MB /   0.50 sec =    7.3401 Mbps     0 retrans     48 KB-cwnd
[2024-05-29 12:12:22.814141]     0.3125 MB /   0.50 sec =    5.2423 Mbps     7 retrans     48 KB-cwnd
[2024-05-29 12:12:22.814638]     0.3750 MB /   0.50 sec =    6.2917 Mbps     0 retrans     48 KB-cwnd
[2024-05-29 12:12:23.571672]     0.3750 MB /   0.50 sec =    6.2917 Mbps     2 retrans     72 KB-cwnd
[2024-05-29 12:12:23.572122]     0.6250 MB /   0.50 sec =   10.4858 Mbps     0 retrans     72 KB-cwnd
[2024-05-29 12:12:24.251215]     0.6250 MB /   0.50 sec =   10.4843 Mbps     0 retrans     79 KB-cwnd
[2024-05-29 12:12:25.032489]     0.6875 MB /   0.50 sec =   11.5351 Mbps     3 retrans     57 KB-cwnd
[2024-05-29 12:12:25.032954]     0.5000 MB /   0.50 sec =    8.3899 Mbps     0 retrans     57 KB-cwnd
[2024-05-29 12:12:25.950601]     0.5000 MB /   0.50 sec =    8.3877 Mbps     2 retrans     55 KB-cwnd
[2024-05-29 12:12:25.950985]     0.5000 MB /   0.50 sec =    8.3888 Mbps     0 retrans     55 KB-cwnd
[2024-05-29 12:12:27.158875]     0.3125 MB /   0.50 sec =    5.2430 Mbps     3 retrans     50 KB-cwnd
[2024-05-29 12:12:27.159328]     0.3750 MB /   0.50 sec =    6.2920 Mbps     0 retrans     50 KB-cwnd
[2024-05-29 12:12:27.939757]     0.3750 MB /   0.50 sec =    6.2909 Mbps     6 retrans    169 KB-cwnd
[2024-05-29 12:12:27.939928]     0.7500 MB /   0.50 sec =   12.5828 Mbps     0 retrans    167 KB-cwnd
[2024-05-29 12:12:28.838441]     1.0625 MB /   0.50 sec =   17.8256 Mbps     6 retrans    104 KB-cwnd
[2024-05-29 12:12:29.405300]     0.9375 MB /   0.50 sec =   15.7291 Mbps     0 retrans    110 KB-cwnd
[2024-05-29 12:12:30.046886]     0.8125 MB /   0.50 sec =   13.6317 Mbps     1 retrans     99 KB-cwnd
[2024-05-29 12:12:30.047214]     0.8125 MB /   0.50 sec =   13.6311 Mbps     0 retrans     99 KB-cwnd
[2024-05-29 12:12:30.590762]     0.7500 MB /   0.50 sec =   12.5813 Mbps     3 retrans     94 KB-cwnd
[2024-05-29 12:12:33.168099]     0.5000 MB /   0.50 sec =    8.3895 Mbps    41 retrans    180 KB-cwnd
[2024-05-29 12:12:33.168608]     0.0625 MB /   0.50 sec =    1.0486 Mbps     0 retrans    180 KB-cwnd
[2024-05-29 12:12:33.168934]     0.5625 MB /   0.50 sec =    9.4379 Mbps     0 retrans    180 KB-cwnd
[2024-05-29 12:12:33.484244]     0.3750 MB /   0.50 sec =    6.2911 Mbps     9 retrans     96 KB-cwnd
[2024-05-29 12:12:33.485100]     0.2500 MB /   0.50 sec =    4.1939 Mbps     0 retrans     96 KB-cwnd
[2024-05-29 12:12:33.485276]     1.0625 MB /   0.50 sec =   17.8278 Mbps     0 retrans     96 KB-cwnd
[2024-05-29 12:12:34.115924]     0.7500 MB /   0.50 sec =   12.5822 Mbps     1 retrans     77 KB-cwnd
[2024-05-29 12:12:34.937562]     0.6250 MB /   0.50 sec =   10.4859 Mbps     6 retrans     57 KB-cwnd
[2024-05-29 12:12:34.937939]     0.5625 MB /   0.50 sec =    9.4364 Mbps     0 retrans     57 KB-cwnd
[2024-05-29 12:12:36.089346]     0.3750 MB /   0.50 sec =    6.2920 Mbps     1 retrans     49 KB-cwnd
[2024-05-29 12:12:36.089708]     0.3750 MB /   0.50 sec =    6.2916 Mbps     0 retrans     49 KB-cwnd
[2024-05-29 12:12:36.786127]     0.5000 MB /   0.50 sec =    8.3885 Mbps     4 retrans     82 KB-cwnd
[2024-05-29 12:12:37.553152]     0.7500 MB /   0.50 sec =   12.5830 Mbps     1 retrans     71 KB-cwnd
[2024-05-29 12:12:37.554263]     0.5625 MB /   0.50 sec =    9.4372 Mbps     0 retrans     71 KB-cwnd
[2024-05-29 12:12:38.313804]     0.6250 MB /   0.50 sec =   10.4859 Mbps     0 retrans     78 KB-cwnd
[2024-05-29 12:12:39.050466]     0.6250 MB /   0.50 sec =   10.4836 Mbps     1 retrans     74 KB-cwnd
[2024-05-29 12:12:39.050847]     0.5625 MB /   0.50 sec =    9.4392 Mbps     0 retrans     74 KB-cwnd
[2024-05-29 12:12:39.758696]     0.6250 MB /   0.50 sec =   10.4857 Mbps     0 retrans     79 KB-cwnd
[2024-05-29 12:12:40.458321]     0.6250 MB /   0.50 sec =   10.4854 Mbps     1 retrans     75 KB-cwnd
[2024-05-29 12:12:40.458872]     0.6250 MB /   0.50 sec =   10.4850 Mbps     0 retrans     75 KB-cwnd
[2024-05-29 12:12:41.238842]     0.6250 MB /   0.50 sec =   10.4865 Mbps     1 retrans     66 KB-cwnd
[2024-05-29 12:12:42.052619]     0.6250 MB /   0.50 sec =   10.4863 Mbps     0 retrans     78 KB-cwnd
[2024-05-29 12:12:42.052978]     0.5625 MB /   0.50 sec =    9.4367 Mbps     0 retrans     78 KB-cwnd
[2024-05-29 12:12:42.907197]     0.3750 MB /   0.50 sec =    6.2915 Mbps     0 retrans     86 KB-cwnd
[2024-05-29 12:12:43.491269]     0.7500 MB /   0.50 sec =   12.5831 Mbps     2 retrans     72 KB-cwnd
[2024-05-29 12:12:43.491767]     0.7500 MB /   0.50 sec =   12.5828 Mbps     0 retrans     72 KB-cwnd
[2024-05-29 12:12:44.161467]     0.7500 MB /   0.50 sec =   12.5831 Mbps     1 retrans     61 KB-cwnd
[2024-05-29 12:12:44.895367]     0.6250 MB /   0.50 sec =   10.4857 Mbps     0 retrans     68 KB-cwnd
[2024-05-29 12:12:45.612446]     0.6250 MB /   0.50 sec =   10.4852 Mbps     0 retrans     96 KB-cwnd
[2024-05-29 12:12:45.613318]     0.6250 MB /   0.50 sec =   10.4846 Mbps     0 retrans     96 KB-cwnd
[2024-05-29 12:12:46.235395]     0.7500 MB /   0.50 sec =   12.5847 Mbps     2 retrans     72 KB-cwnd
[2024-05-29 12:12:46.917952]     0.6875 MB /   0.50 sec =   11.5345 Mbps     0 retrans     81 KB-cwnd
[2024-05-29 12:12:46.918222]     0.6250 MB /   0.50 sec =   10.4857 Mbps     0 retrans     81 KB-cwnd
[2024-05-29 12:12:47.529646]     0.6875 MB /   0.50 sec =   11.5343 Mbps     2 retrans     97 KB-cwnd
[2024-05-29 12:12:48.138862]     0.9375 MB /   0.50 sec =   15.7291 Mbps     1 retrans     85 KB-cwnd
[2024-05-29 12:12:48.795079]     0.5625 MB /   0.50 sec =    9.4367 Mbps     2 retrans     66 KB-cwnd
