Start time: 1716924209525
[2024-05-28 15:23:53.185884] Connecting to host 35.245.244.238, port 5202
[2024-05-28 15:23:53.186516] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:23:53.186561] [  5] local 10.45.167.251 port 54356 connected to 35.245.244.238 port 5202
[2024-05-28 15:23:53.186594] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:24:17.689884] [  5]  40.00-40.50  sec  11.9 MBytes   199 Mbits/sec  0.064 ms  12677/21577 (59%)  
[2024-05-28 15:24:17.689983] [  5]  40.50-41.00  sec  13.8 MBytes   231 Mbits/sec  0.063 ms  12700/23002 (55%)  
[2024-05-28 15:24:17.690081] [  5]  41.00-41.50  sec  13.8 MBytes   231 Mbits/sec  0.075 ms  11927/22243 (54%)  
[2024-05-28 15:24:17.690180] [  5]  41.50-42.00  sec  13.3 MBytes   223 Mbits/sec  0.128 ms  12579/22550 (56%)  
[2024-05-28 15:24:17.690281] [  5]  42.00-42.50  sec  14.1 MBytes   236 Mbits/sec  0.074 ms  11807/22333 (53%)  
[2024-05-28 15:24:17.690381] [  5]  42.50-43.00  sec  13.7 MBytes   229 Mbits/sec  0.059 ms  12070/22298 (54%)  
[2024-05-28 15:24:17.690479] [  5]  43.00-43.50  sec  12.9 MBytes   216 Mbits/sec  0.028 ms  12547/22173 (57%)  
[2024-05-28 15:24:17.690577] [  5]  43.50-44.00  sec  13.5 MBytes   227 Mbits/sec  0.071 ms  12336/22465 (55%)  
[2024-05-28 15:24:17.690675] [  5]  44.00-44.50  sec  13.0 MBytes   219 Mbits/sec  0.042 ms  12399/22161 (56%)  
[2024-05-28 15:24:17.690774] [  5]  44.50-45.00  sec  13.6 MBytes   228 Mbits/sec  0.065 ms  11841/21999 (54%)  
[2024-05-28 15:24:17.690874] [  5]  45.00-45.50  sec  12.6 MBytes   212 Mbits/sec  0.058 ms  12935/22391 (58%)  
[2024-05-28 15:24:17.690974] [  5]  45.50-46.00  sec  13.2 MBytes   221 Mbits/sec  0.065 ms  12606/22467 (56%)  
[2024-05-28 15:24:17.691074] [  5]  46.00-46.50  sec  13.0 MBytes   218 Mbits/sec  0.192 ms  12673/22395 (57%)  
[2024-05-28 15:24:17.691178] [  5]  46.50-47.00  sec  13.6 MBytes   228 Mbits/sec  0.356 ms  11898/22072 (54%)  
[2024-05-28 15:24:42.185729] [  5]  47.00-47.50  sec  13.6 MBytes   229 Mbits/sec  0.271 ms  12181/22383 (54%)  
[2024-05-28 15:24:42.185959] [  5]  47.50-48.00  sec  13.6 MBytes   229 Mbits/sec  0.180 ms  12420/22634 (55%)  
[2024-05-28 15:24:42.186013] [  5]  48.00-48.50  sec  13.7 MBytes   230 Mbits/sec  0.051 ms  11876/22153 (54%)  
[2024-05-28 15:24:42.186058] [  5]  48.50-49.00  sec  13.0 MBytes   219 Mbits/sec  0.086 ms  12855/22617 (57%)  
[2024-05-28 15:24:42.186099] [  5]  49.00-49.50  sec  12.6 MBytes   212 Mbits/sec  0.030 ms  12556/22025 (57%)  
[2024-05-28 15:24:42.186141] [  5]  49.50-50.00  sec  14.0 MBytes   235 Mbits/sec  0.284 ms  11890/22360 (53%)  
[2024-05-28 15:24:42.186183] [  5]  50.00-50.50  sec  14.0 MBytes   236 Mbits/sec  0.056 ms  11953/22470 (53%)  
[2024-05-28 15:24:42.186224] [  5]  50.50-51.00  sec  14.1 MBytes   237 Mbits/sec  0.049 ms  11652/22228 (52%)  
[2024-05-28 15:24:42.186264] [  5]  51.00-51.50  sec  13.6 MBytes   228 Mbits/sec  0.029 ms  12021/22215 (54%)  
[2024-05-28 15:24:42.186305] [  5]  51.50-52.00  sec  12.3 MBytes   206 Mbits/sec  0.160 ms  13283/22480 (59%)  
[2024-05-28 15:24:42.186345] [  5]  52.00-52.50  sec  12.4 MBytes   208 Mbits/sec  0.152 ms  12901/22199 (58%)  
[2024-05-28 15:24:42.186385] [  5]  52.50-53.00  sec  13.9 MBytes   233 Mbits/sec  0.101 ms  11973/22367 (54%)  
[2024-05-28 15:24:42.186443] [  5]  53.00-53.50  sec  12.4 MBytes   209 Mbits/sec  0.040 ms  13002/22322 (58%)  
[2024-05-28 15:24:42.186485] [  5]  53.50-54.00  sec  13.5 MBytes   227 Mbits/sec  0.019 ms  12352/22477 (55%)  
[2024-05-28 15:24:42.186524] [  5]  54.00-54.50  sec  13.4 MBytes   225 Mbits/sec  0.161 ms  12117/22157 (55%)  
[2024-05-28 15:24:42.186563] [  5]  54.50-55.00  sec  12.2 MBytes   205 Mbits/sec  0.168 ms  13113/22269 (59%)  
[2024-05-28 15:24:42.186601] [  5]  55.00-55.50  sec  11.1 MBytes   186 Mbits/sec  0.061 ms  13968/22269 (63%)  
