Start time: 1716931798226
[2024-05-28 17:29:59.114596] nuttcp-t: v8.1.4: socket
[2024-05-28 17:29:59.115531] nuttcp-t: buflen=65536, nstream=1, port=5003 tcp -> 35.245.244.238
[2024-05-28 17:29:59.115639] nuttcp-t: time limit = 120.00 seconds
[2024-05-28 17:29:59.115714] nuttcp-t: connect to 35.245.244.238 with mss=1408, RTT=44.044 ms af=inet
[2024-05-28 17:29:59.115790] nuttcp-t: send window size = 1048576, receive window size = 1048576
[2024-05-28 17:29:59.115861] nuttcp-t: available send window = 786432, available receive window = 786432
[2024-05-28 17:29:59.116161] nuttcp-t: initial congestion window = 13 KB (10 packets)
[2024-05-28 17:29:59.116253] nuttcp-r: v8.1.4: socket
[2024-05-28 17:29:59.116326] nuttcp-r: buflen=65536, nstream=1, port=5003 tcp
[2024-05-28 17:29:59.116394] nuttcp-r: interval reporting every 0.50 seconds
[2024-05-28 17:29:59.116461] nuttcp-r: accept from 98.97.16.43 with af=inet
[2024-05-28 17:29:59.116526] nuttcp-r: send window size = 450000000, receive window size = 450000000
[2024-05-28 17:29:59.116593] nuttcp-r: available send window = 225000000, available receive window = 225000000
[2024-05-28 17:31:31.410038]     1.0625 MB /   0.50 sec =   17.8253 Mbps     2 retrans     90 KB-cwnd
[2024-05-28 17:31:31.994373]     0.7500 MB /   0.50 sec =   12.5798 Mbps     6 retrans     59 KB-cwnd
[2024-05-28 17:31:32.785791]     0.6250 MB /   0.50 sec =   10.4888 Mbps     0 retrans     68 KB-cwnd
[2024-05-28 17:31:32.786245]     0.5000 MB /   0.50 sec =    8.3873 Mbps     0 retrans     68 KB-cwnd
[2024-05-28 17:31:33.324905]     0.5000 MB /   0.50 sec =    8.3893 Mbps     3 retrans    169 KB-cwnd
[2024-05-28 17:31:33.720168]     0.8750 MB /   0.50 sec =   14.6796 Mbps     5 retrans     97 KB-cwnd
[2024-05-28 17:31:34.181274]     0.8750 MB /   0.50 sec =   14.6816 Mbps     0 retrans    103 KB-cwnd
[2024-05-28 17:31:34.643322]     0.8125 MB /   0.50 sec =   13.6324 Mbps     1 retrans     88 KB-cwnd
[2024-05-28 17:31:35.161606]     0.6875 MB /   0.50 sec =   11.5336 Mbps     3 retrans     75 KB-cwnd
[2024-05-28 17:31:35.734030]     0.7500 MB /   0.50 sec =   12.5831 Mbps     3 retrans     74 KB-cwnd
[2024-05-28 17:31:36.314140]     0.6250 MB /   0.50 sec =   10.4855 Mbps     4 retrans     63 KB-cwnd
[2024-05-28 17:31:36.880745]     0.6250 MB /   0.50 sec =   10.4851 Mbps     3 retrans     61 KB-cwnd
[2024-05-28 17:31:37.657236]     0.6250 MB /   0.50 sec =   10.4858 Mbps     4 retrans     57 KB-cwnd
[2024-05-28 17:31:37.657535]     0.4375 MB /   0.50 sec =    7.3405 Mbps     0 retrans     57 KB-cwnd
[2024-05-28 17:31:38.124427]     0.7500 MB /   0.50 sec =   12.5829 Mbps     4 retrans    105 KB-cwnd
