Start time: 1716823746482
[2024-05-27 11:29:38.714979] Connecting to host 35.245.244.238, port 5203
[2024-05-27 11:29:38.715648] [  5] local 192.168.1.21 port 38145 connected to 35.245.244.238 port 5203
[2024-05-27 11:29:38.715703] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 11:30:11.718396] [  5]  49.50-50.00  sec  17.2 MBytes   288 Mbits/sec  12860  
[2024-05-27 11:30:11.718472] [  5]  50.00-50.50  sec  17.7 MBytes   296 Mbits/sec  13230  
[2024-05-27 11:30:11.718550] [  5]  50.50-51.00  sec  18.4 MBytes   308 Mbits/sec  13750  
[2024-05-27 11:30:11.718626] [  5]  51.00-51.50  sec  16.6 MBytes   278 Mbits/sec  12430  
[2024-05-27 11:30:11.718700] [  5]  51.50-52.00  sec  16.5 MBytes   277 Mbits/sec  12380  
[2024-05-27 11:30:11.719106] [  5]  52.00-52.50  sec  18.1 MBytes   304 Mbits/sec  13590  
[2024-05-27 11:30:11.719198] [  5]  52.50-53.00  sec  18.4 MBytes   308 Mbits/sec  13750  
[2024-05-27 11:30:11.719454] [  5]  53.00-53.50  sec  17.9 MBytes   301 Mbits/sec  13420  
[2024-05-27 11:30:11.719782] [  5]  53.50-54.00  sec  18.0 MBytes   302 Mbits/sec  13480  
[2024-05-27 11:30:11.720108] [  5]  54.00-54.50  sec  17.2 MBytes   289 Mbits/sec  12900  
[2024-05-27 11:30:11.720436] [  5]  54.50-55.00  sec  17.5 MBytes   293 Mbits/sec  13100  
[2024-05-27 11:30:11.720781] [  5]  55.00-55.50  sec  17.7 MBytes   296 Mbits/sec  13220  
[2024-05-27 11:30:11.720948] [  5]  55.50-56.00  sec  17.3 MBytes   291 Mbits/sec  12980  
[2024-05-27 11:30:11.721024] [  5]  56.00-56.50  sec  19.2 MBytes   322 Mbits/sec  14380  
[2024-05-27 11:30:11.721098] [  5]  56.50-57.00  sec  17.3 MBytes   291 Mbits/sec  12990  
[2024-05-27 11:30:11.721172] [  5]  57.00-57.50  sec  17.6 MBytes   295 Mbits/sec  13190  
[2024-05-27 11:30:11.721247] [  5]  57.50-58.00  sec  17.0 MBytes   285 Mbits/sec  12700  
[2024-05-27 11:30:11.721321] [  5]  58.00-58.50  sec  17.6 MBytes   296 Mbits/sec  13200  
[2024-05-27 11:30:11.721395] [  5]  58.50-59.00  sec  17.9 MBytes   301 Mbits/sec  13430  
