Start time: 1716923220273
[2024-05-28 15:07:23.137659] Connecting to host 35.245.244.238, port 5201
[2024-05-28 15:07:23.138271] Reverse mode, remote host 35.245.244.238 is sending
[2024-05-28 15:07:23.138309] [  5] local 100.118.80.242 port 58248 connected to 35.245.244.238 port 5201
[2024-05-28 15:07:23.138340] [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[2024-05-28 15:07:46.139942] [  5]  31.00-31.50  sec  6.84 KBytes   112 Kbits/sec  600.038 ms  22588/22593 (1e+02%)  
[2024-05-28 15:07:46.140046] [  5]  31.50-32.00  sec  6.84 KBytes   112 Kbits/sec  435.734 ms  22488/22493 (1e+02%)  
[2024-05-28 15:07:46.140146] [  5]  32.00-32.50  sec  6.84 KBytes   112 Kbits/sec  316.344 ms  22585/22590 (1e+02%)  
[2024-05-28 15:07:46.140294] [  5]  32.50-33.00  sec  6.84 KBytes   112 Kbits/sec  229.786 ms  22496/22501 (1e+02%)  
[2024-05-28 15:07:46.140399] [  5]  33.00-33.50  sec  6.84 KBytes   112 Kbits/sec  166.857 ms  22502/22507 (1e+02%)  
[2024-05-28 15:07:46.140501] [  5]  33.50-34.00  sec  6.84 KBytes   112 Kbits/sec  121.940 ms  22490/22495 (1e+02%)  
[2024-05-28 15:07:46.140603] [  5]  34.00-34.50  sec  6.84 KBytes   112 Kbits/sec  89.165 ms  22494/22499 (1e+02%)  
[2024-05-28 15:07:46.140705] [  5]  34.50-35.00  sec  5.47 KBytes  89.4 Kbits/sec  69.696 ms  17948/17952 (1e+02%)  
[2024-05-28 15:07:46.140808] [  5]  35.00-35.50  sec  8.20 KBytes   135 Kbits/sec  48.816 ms  26995/27001 (1e+02%)  
[2024-05-28 15:07:46.140910] [  5]  35.50-36.00  sec  5.47 KBytes  89.4 Kbits/sec  38.443 ms  17987/17991 (1e+02%)  
[2024-05-28 15:07:46.141011] [  5]  36.00-36.50  sec  6.84 KBytes   112 Kbits/sec  28.652 ms  22503/22508 (1e+02%)  
[2024-05-28 15:07:46.141111] [  5]  36.50-37.00  sec  6.84 KBytes   112 Kbits/sec  21.408 ms  22578/22583 (1e+02%)  
[2024-05-28 15:07:46.141211] [  5]  37.00-37.50  sec  6.84 KBytes   112 Kbits/sec  18.241 ms  22539/22544 (1e+02%)  
[2024-05-28 15:07:46.141314] [  5]  37.50-38.00  sec  6.84 KBytes   112 Kbits/sec  14.108 ms  22407/22412 (1e+02%)  
[2024-05-28 15:07:46.141415] [  5]  38.00-38.50  sec  6.84 KBytes   112 Kbits/sec  10.508 ms  22540/22545 (1e+02%)  
[2024-05-28 15:07:46.141514] [  5]  38.50-39.00  sec  6.84 KBytes   112 Kbits/sec  8.508 ms  22487/22492 (1e+02%)  
[2024-05-28 15:07:46.141613] [  5]  39.00-39.50  sec  6.84 KBytes   112 Kbits/sec  8.382 ms  22501/22506 (1e+02%)  
[2024-05-28 15:07:46.141794] [  5]  39.50-40.00  sec  6.84 KBytes   112 Kbits/sec  7.255 ms  22630/22635 (1e+02%)  
[2024-05-28 15:07:46.141902] [  5]  40.00-40.50  sec  6.84 KBytes   112 Kbits/sec  6.557 ms  22538/22543 (1e+02%)  
[2024-05-28 15:07:46.142001] [  5]  40.50-41.00  sec  6.84 KBytes   112 Kbits/sec  4.845 ms  22543/22548 (1e+02%)  
[2024-05-28 15:07:46.142101] [  5]  41.00-41.50  sec  6.84 KBytes   112 Kbits/sec  3.875 ms  22513/22518 (1e+02%)  
[2024-05-28 15:07:46.142200] [  5]  41.50-42.00  sec  6.84 KBytes   112 Kbits/sec  3.208 ms  22651/22656 (1e+02%)  
[2024-05-28 15:07:46.142301] [  5]  42.00-42.50  sec  6.84 KBytes   112 Kbits/sec  3.043 ms  22545/22550 (1e+02%)  
[2024-05-28 15:07:46.142401] [  5]  42.50-43.00  sec  6.84 KBytes   112 Kbits/sec  2.366 ms  22446/22451 (1e+02%)  
[2024-05-28 15:07:46.142501] [  5]  43.00-43.50  sec  6.84 KBytes   112 Kbits/sec  1.859 ms  22450/22455 (1e+02%)  
[2024-05-28 15:07:46.142606] [  5]  43.50-44.00  sec  6.84 KBytes   112 Kbits/sec  1.490 ms  22586/22591 (1e+02%)  
[2024-05-28 15:08:09.637944] [  5]  44.00-44.50  sec  6.84 KBytes   112 Kbits/sec  1.406 ms  22509/22514 (1e+02%)  
[2024-05-28 15:08:09.638407] [  5]  44.50-45.00  sec  6.84 KBytes   112 Kbits/sec  1.540 ms  22569/22574 (1e+02%)  
[2024-05-28 15:08:09.638548] [  5]  45.00-45.50  sec  6.84 KBytes   112 Kbits/sec  1.442 ms  22448/22453 (1e+02%)  
[2024-05-28 15:08:09.638662] [  5]  45.50-46.00  sec  6.84 KBytes   112 Kbits/sec  1.804 ms  22409/22414 (1e+02%)  
[2024-05-28 15:08:09.638767] [  5]  46.00-46.50  sec  6.84 KBytes   112 Kbits/sec  1.730 ms  22629/22634 (1e+02%)  
[2024-05-28 15:08:09.638871] [  5]  46.50-47.00  sec  5.47 KBytes  89.6 Kbits/sec  2.277 ms  18076/18080 (1e+02%)  
[2024-05-28 15:08:09.638971] [  5]  47.00-47.50  sec  6.84 KBytes   112 Kbits/sec  1.836 ms  22413/22418 (1e+02%)  
[2024-05-28 15:08:09.639075] [  5]  47.50-48.00  sec  6.84 KBytes   112 Kbits/sec  2.033 ms  22500/22505 (1e+02%)  
[2024-05-28 15:08:09.639176] [  5]  48.00-48.50  sec  6.84 KBytes   112 Kbits/sec  1.588 ms  22263/22268 (1e+02%)  
[2024-05-28 15:08:09.639278] [  5]  48.50-49.00  sec  6.84 KBytes   112 Kbits/sec  2.230 ms  22537/22542 (1e+02%)  
[2024-05-28 15:08:09.639378] [  5]  49.00-49.50  sec  6.84 KBytes   112 Kbits/sec  1.946 ms  22498/22503 (1e+02%)  
[2024-05-28 15:08:09.639480] [  5]  49.50-50.00  sec  6.84 KBytes   112 Kbits/sec  2.871 ms  22446/22451 (1e+02%)  
[2024-05-28 15:08:09.639588] [  5]  50.00-50.50  sec  6.84 KBytes   112 Kbits/sec  2.888 ms  22449/22454 (1e+02%)  
[2024-05-28 15:08:09.639727] [  5]  50.50-51.00  sec  6.84 KBytes   112 Kbits/sec  3.222 ms  25368/25373 (1e+02%)  
[2024-05-28 15:08:09.639828] [  5]  51.00-51.50  sec  5.47 KBytes  89.6 Kbits/sec  2.677 ms  18064/18068 (1e+02%)  
[2024-05-28 15:08:09.639928] [  5]  51.50-52.00  sec  8.20 KBytes   134 Kbits/sec  2.878 ms  26988/26994 (1e+02%)  
[2024-05-28 15:08:09.640028] [  5]  52.00-52.50  sec  5.47 KBytes  89.6 Kbits/sec  2.355 ms  17843/17847 (1e+02%)  
