Time Bucket (America/New_York),Not Named-Plug (kWatts)
05/20/2024 17:08:00,0.0591
05/20/2024 17:09:00,0.0602
05/20/2024 17:10:00,0.0580
05/20/2024 17:11:00,0.0676
05/20/2024 17:12:00,0.0567
05/20/2024 17:13:00,0.0611
05/20/2024 17:14:00,0.0585
05/20/2024 17:15:00,0.0584
05/20/2024 17:16:00,0.0597
05/20/2024 17:17:00,0.0554
05/20/2024 17:18:00,0.0648
05/20/2024 17:19:00,0.0605
05/20/2024 17:20:00,0.0625
05/20/2024 17:21:00,0.0600
05/20/2024 17:22:00,0.0626
05/20/2024 17:23:00,0.0665
05/20/2024 17:24:00,0.0624
05/20/2024 17:25:00,0.0558
05/20/2024 17:26:00,0.0638
05/20/2024 17:27:00,0.0620
05/20/2024 17:28:00,0.0558
05/20/2024 17:29:00,0.0559
05/20/2024 17:30:00,0.0572
05/20/2024 17:31:00,0.0608
05/20/2024 17:32:00,0.0593
05/20/2024 17:33:00,0.0543
05/20/2024 17:34:00,0.0597
05/20/2024 17:35:00,0.0663
05/20/2024 17:36:00,0.0608
05/20/2024 17:37:00,0.0570
05/20/2024 17:38:00,0.0659
05/20/2024 17:39:00,0.0518
05/20/2024 17:40:00,0.0533
05/20/2024 17:41:00,0.0610
05/20/2024 17:42:00,0.0636
05/20/2024 17:43:00,0.0622
05/20/2024 17:44:00,0.0582
05/20/2024 17:45:00,0.0632
05/20/2024 17:46:00,0.0663
05/20/2024 17:47:00,0.0666
05/20/2024 17:48:00,0.0665
05/20/2024 17:49:00,0.0663
05/20/2024 17:50:00,0.0365
05/20/2024 17:51:00,0.0002
05/20/2024 17:52:00,0.0002
05/20/2024 17:53:00,0.0002
05/20/2024 17:54:00,0.0002
05/20/2024 17:55:00,0.0002
05/20/2024 17:56:00,0.0002
05/20/2024 17:57:00,0.0002
05/20/2024 17:58:00,0.0002
05/20/2024 17:59:00,0.0002
05/20/2024 18:00:00,0.0002
05/20/2024 18:01:00,0.0002
05/20/2024 18:02:00,0.0002
05/20/2024 18:03:00,0.0002
05/20/2024 18:04:00,0.0002
05/20/2024 18:05:00,0.0002
05/20/2024 18:06:00,0.0002
05/20/2024 18:07:00,0.0002
05/20/2024 18:08:00,0.0002
05/20/2024 18:09:00,0.0002
05/20/2024 18:10:00,0.0002
05/20/2024 18:11:00,0.0002
05/20/2024 18:12:00,0.0002
05/20/2024 18:13:00,0.0002
05/20/2024 18:14:00,0.0002
05/20/2024 18:15:00,0.0002
05/20/2024 18:16:00,0.0002
05/20/2024 18:17:00,0.0002
05/20/2024 18:18:00,0.0002
05/20/2024 18:19:00,0.0002
05/20/2024 18:20:00,0.0002
05/20/2024 18:21:00,0.0002
05/20/2024 18:22:00,0.0002
05/20/2024 18:23:00,0.0002
05/20/2024 18:24:00,0.0002
05/20/2024 18:25:00,0.0002
05/20/2024 18:26:00,0.0002
05/20/2024 18:27:00,0.0002
05/20/2024 18:28:00,0.0002
05/20/2024 18:29:00,0.0002
05/20/2024 18:30:00,0.0002
05/20/2024 18:31:00,0.0002
05/20/2024 18:32:00,0.0002
05/20/2024 18:33:00,0.0002
05/20/2024 18:34:00,0.0002
05/20/2024 18:35:00,0.0002
05/20/2024 18:36:00,0.0002
05/20/2024 18:37:00,0.0002
05/20/2024 18:38:00,0.0002
05/20/2024 18:39:00,0.0002
05/20/2024 18:40:00,0.0002
05/20/2024 18:41:00,0.0002
05/20/2024 18:42:00,0.0002
05/20/2024 18:43:00,0.0002
05/20/2024 18:44:00,0.0002
05/20/2024 18:45:00,0.0002
05/20/2024 18:46:00,0.0002
05/20/2024 18:47:00,0.0002
05/20/2024 18:48:00,0.0002
05/20/2024 18:49:00,0.0002
05/20/2024 18:50:00,0.0002
05/20/2024 18:51:00,0.0002
05/20/2024 18:52:00,0.0002
05/20/2024 18:53:00,0.0002
05/20/2024 18:54:00,0.0002
05/20/2024 18:55:00,0.0002
05/20/2024 18:56:00,0.0002
05/20/2024 18:57:00,0.0002
05/20/2024 18:58:00,0.0002
05/20/2024 18:59:00,0.0002
05/20/2024 19:00:00,0.0002
05/20/2024 19:01:00,0.0002
05/20/2024 19:02:00,0.0002
05/20/2024 19:03:00,0.0002
05/20/2024 19:04:00,0.0002
05/20/2024 19:05:00,0.0002
05/20/2024 19:06:00,0.0002
05/20/2024 19:07:00,0.0002
05/20/2024 19:08:00,0.0002
05/20/2024 19:09:00,0.0002
05/20/2024 19:10:00,0.0002
05/20/2024 19:11:00,0.0002
05/20/2024 19:12:00,0.0002
05/20/2024 19:13:00,0.0002
05/20/2024 19:14:00,0.0002
05/20/2024 19:15:00,0.0002
05/20/2024 19:16:00,0.0002
05/20/2024 19:17:00,0.0002
05/20/2024 19:18:00,0.0002
05/20/2024 19:19:00,0.0002
05/20/2024 19:20:00,0.0002
05/20/2024 19:21:00,0.0002
05/20/2024 19:22:00,0.0002
05/20/2024 19:23:00,0.0002
05/20/2024 19:24:00,0.0002
05/20/2024 19:25:00,0.0002
05/20/2024 19:26:00,0.0002
05/20/2024 19:27:00,0.0002
05/20/2024 19:28:00,0.0002
05/20/2024 19:29:00,0.0002
05/20/2024 19:30:00,0.0002
05/20/2024 19:31:00,0.0002
05/20/2024 19:32:00,0.0002
05/20/2024 19:33:00,0.0002
05/20/2024 19:34:00,0.0002
05/20/2024 19:35:00,0.0002
05/20/2024 19:36:00,0.0002
05/20/2024 19:37:00,0.0002
05/20/2024 19:38:00,0.0002
05/20/2024 19:39:00,0.0002
05/20/2024 19:40:00,0.0002
05/20/2024 19:41:00,0.0002
05/20/2024 19:42:00,0.0002
05/20/2024 19:43:00,0.0002
05/20/2024 19:44:00,0.0002
05/20/2024 19:45:00,0.0002
05/20/2024 19:46:00,0.0002
05/20/2024 19:47:00,0.0002
05/20/2024 19:48:00,0.0002
05/20/2024 19:49:00,0.0002
05/20/2024 19:50:00,0.0002
05/20/2024 19:51:00,0.0002
05/20/2024 19:52:00,0.0002
05/20/2024 19:53:00,0.0002
05/20/2024 19:54:00,0.0002
05/20/2024 19:55:00,0.0002
05/20/2024 19:56:00,0.0002
05/20/2024 19:57:00,0.0002
05/20/2024 19:58:00,0.0002
05/20/2024 19:59:00,0.0002
05/20/2024 20:00:00,0.0002
05/20/2024 20:01:00,0.0002
05/20/2024 20:02:00,0.0002
05/20/2024 20:03:00,0.0002
05/20/2024 20:04:00,0.0002
05/20/2024 20:05:00,0.0002
05/20/2024 20:06:00,0.0002
05/20/2024 20:07:00,0.0002
05/20/2024 20:08:00,0.0002
05/20/2024 20:09:00,0.0002
05/20/2024 20:10:00,0.0002
05/20/2024 20:11:00,0.0002
05/20/2024 20:12:00,0.0002
05/20/2024 20:13:00,0.0002
05/20/2024 20:14:00,0.0002
05/20/2024 20:15:00,0.0002
05/20/2024 20:16:00,0.0002
05/20/2024 20:17:00,0.0002
05/20/2024 20:18:00,0.0002
05/20/2024 20:19:00,0.0002
05/20/2024 20:20:00,0.0002
05/20/2024 20:21:00,0.0002
05/20/2024 20:22:00,0.0002
05/20/2024 20:23:00,0.0002
05/20/2024 20:24:00,0.0002
05/20/2024 20:25:00,0.0002
05/20/2024 20:26:00,0.0002
05/20/2024 20:27:00,0.0002
05/20/2024 20:28:00,0.0002
05/20/2024 20:29:00,0.0002
05/20/2024 20:30:00,0.0002
05/20/2024 20:31:00,0.0002
05/20/2024 20:32:00,0.0002
05/20/2024 20:33:00,0.0002
05/20/2024 20:34:00,0.0002
05/20/2024 20:35:00,0.0002
05/20/2024 20:36:00,0.0002
05/20/2024 20:37:00,0.0002
05/20/2024 20:38:00,0.0002
05/20/2024 20:39:00,0.0002
05/20/2024 20:40:00,0.0002
05/20/2024 20:41:00,0.0002
05/20/2024 20:42:00,0.0002
05/20/2024 20:43:00,0.0002
05/20/2024 20:44:00,0.0002
05/20/2024 20:45:00,0.0002
05/20/2024 20:46:00,0.0002
05/20/2024 20:47:00,0.0002
05/20/2024 20:48:00,0.0002
05/20/2024 20:49:00,0.0002
05/20/2024 20:50:00,0.0002
05/20/2024 20:51:00,0.0002
05/20/2024 20:52:00,0.0002
05/20/2024 20:53:00,0.0002
05/20/2024 20:54:00,0.0002
05/20/2024 20:55:00,0.0002
05/20/2024 20:56:00,0.0002
05/20/2024 20:57:00,0.0002
05/20/2024 20:58:00,0.0002
05/20/2024 20:59:00,0.0002
05/20/2024 21:00:00,0.0002
05/20/2024 21:01:00,0.0002
05/20/2024 21:02:00,0.0002
05/20/2024 21:03:00,0.0002
05/20/2024 21:04:00,0.0002
05/20/2024 21:05:00,0.0002
05/20/2024 21:06:00,0.0002
05/20/2024 21:07:00,0.0002
05/20/2024 21:08:00,0.0002
05/20/2024 21:09:00,0.0002
05/20/2024 21:10:00,0.0002
05/20/2024 21:11:00,0.0002
05/20/2024 21:12:00,0.0002
05/20/2024 21:13:00,0.0002
05/20/2024 21:14:00,0.0002
05/20/2024 21:15:00,0.0002
05/20/2024 21:16:00,0.0002
05/20/2024 21:17:00,0.0002
05/20/2024 21:18:00,0.0002
05/20/2024 21:19:00,0.0002
05/20/2024 21:20:00,0.0002
05/20/2024 21:21:00,0.0002
05/20/2024 21:22:00,0.0002
05/20/2024 21:23:00,0.0002
05/20/2024 21:24:00,0.0002
05/20/2024 21:25:00,0.0002
05/20/2024 21:26:00,0.0002
05/20/2024 21:27:00,0.0002
05/20/2024 21:28:00,0.0002
05/20/2024 21:29:00,0.0002
05/20/2024 21:30:00,0.0002
05/20/2024 21:31:00,0.0002
05/20/2024 21:32:00,0.0002
05/20/2024 21:33:00,0.0002
05/20/2024 21:34:00,0.0002
05/20/2024 21:35:00,0.0002
05/20/2024 21:36:00,0.0002
05/20/2024 21:37:00,0.0002
05/20/2024 21:38:00,0.0002
05/20/2024 21:39:00,0.0002
05/20/2024 21:40:00,0.0002
05/20/2024 21:41:00,0.0002
05/20/2024 21:42:00,0.0002
05/20/2024 21:43:00,0.0002
05/20/2024 21:44:00,0.0067
05/20/2024 21:45:00,0.0976
05/20/2024 21:46:00,0.0922
05/20/2024 21:47:00,0.0928
05/20/2024 21:48:00,0.0934
05/20/2024 21:49:00,0.0939
05/20/2024 21:50:00,0.0943
05/20/2024 21:51:00,0.0947
05/20/2024 21:52:00,0.0951
05/20/2024 21:53:00,0.0954
05/20/2024 21:54:00,0.0958
05/20/2024 21:55:00,0.0961
05/20/2024 21:56:00,0.0963
05/20/2024 21:57:00,0.0965
05/20/2024 21:58:00,0.0968
05/20/2024 21:59:00,0.0971
05/20/2024 22:00:00,0.0973
05/20/2024 22:01:00,0.0975
05/20/2024 22:02:00,0.0976
05/20/2024 22:03:00,0.0974
05/20/2024 22:04:00,0.0981
05/20/2024 22:05:00,0.0984
05/20/2024 22:06:00,0.0984
05/20/2024 22:07:00,0.0986
05/20/2024 22:08:00,0.0987
05/20/2024 22:09:00,0.0990
05/20/2024 22:10:00,0.0990
05/20/2024 22:11:00,0.0991
05/20/2024 22:12:00,0.0992
05/20/2024 22:13:00,0.0992
05/20/2024 22:14:00,0.0998
05/20/2024 22:15:00,0.1081
05/20/2024 22:16:00,0.1060
05/20/2024 22:17:00,0.0997
05/20/2024 22:18:00,0.0998
05/20/2024 22:19:00,0.0998
05/20/2024 22:20:00,0.0998
05/20/2024 22:21:00,0.0998
05/20/2024 22:22:00,0.0999
05/20/2024 22:23:00,0.1002
05/20/2024 22:24:00,0.1000
05/20/2024 22:25:00,0.1000
05/20/2024 22:26:00,0.0998
05/20/2024 22:27:00,0.0998
05/20/2024 22:28:00,0.0996
05/20/2024 22:29:00,0.0995
05/20/2024 22:30:00,0.0994
05/20/2024 22:31:00,0.0992
05/20/2024 22:32:00,0.0939
05/20/2024 22:33:00,0.0569
05/20/2024 22:34:00,0.0590
05/20/2024 22:35:00,0.0645
05/20/2024 22:36:00,0.0667
05/20/2024 22:37:00,0.0591
05/20/2024 22:38:00,0.0610
05/20/2024 22:39:00,0.0632
05/20/2024 22:40:00,0.0578
05/20/2024 22:41:00,0.0675
05/20/2024 22:42:00,0.0674
05/20/2024 22:43:00,0.0609
05/20/2024 22:44:00,0.0587
05/20/2024 22:45:00,0.0556
05/20/2024 22:46:00,0.0633
05/20/2024 22:47:00,0.0510
05/20/2024 22:48:00,0.0615
05/20/2024 22:49:00,0.0597
05/20/2024 22:50:00,0.0618
05/20/2024 22:51:00,0.0605
05/20/2024 22:52:00,0.0531
05/20/2024 22:53:00,0.0588
05/20/2024 22:54:00,0.0523
05/20/2024 22:55:00,0.0571
05/20/2024 22:56:00,0.0622
05/20/2024 22:57:00,0.0565
05/20/2024 22:58:00,0.0593
05/20/2024 22:59:00,0.0633
05/20/2024 23:00:00,0.0608
05/20/2024 23:01:00,0.0636
05/20/2024 23:02:00,0.0588
05/20/2024 23:03:00,0.0626
05/20/2024 23:04:00,0.0554
05/20/2024 23:05:00,0.0564
05/20/2024 23:06:00,0.0571
05/20/2024 23:07:00,0.0593
05/20/2024 23:08:00,0.0600
05/20/2024 23:09:00,0.0545
05/20/2024 23:10:00,0.0648
05/20/2024 23:11:00,0.0603
05/20/2024 23:12:00,0.0563
05/20/2024 23:13:00,0.0635
05/20/2024 23:14:00,0.0671
05/20/2024 23:15:00,0.0576
05/20/2024 23:16:00,0.0587
05/20/2024 23:17:00,0.0657
05/20/2024 23:18:00,0.0674
05/20/2024 23:19:00,0.0577
05/20/2024 23:20:00,0.0661
05/20/2024 23:21:00,0.0632
05/20/2024 23:22:00,0.0497
05/20/2024 23:23:00,0.0533
05/20/2024 23:24:00,0.0615
05/20/2024 23:25:00,0.0610
05/20/2024 23:26:00,0.0612
05/20/2024 23:27:00,0.0578
05/20/2024 23:28:00,0.0651
05/20/2024 23:29:00,0.0586
05/20/2024 23:30:00,0.0683
05/20/2024 23:31:00,0.0621
05/20/2024 23:32:00,0.0629
05/20/2024 23:33:00,0.0629
05/20/2024 23:34:00,0.0554
05/20/2024 23:35:00,0.0605
05/20/2024 23:36:00,0.0674
05/20/2024 23:37:00,0.0609
05/20/2024 23:38:00,0.0631
05/20/2024 23:39:00,0.0633
05/20/2024 23:40:00,0.0596
05/20/2024 23:41:00,0.0531
05/20/2024 23:42:00,0.0529
05/20/2024 23:43:00,0.0533
05/20/2024 23:44:00,0.0531
05/20/2024 23:45:00,0.0463
05/20/2024 23:46:00,0.0526
05/20/2024 23:47:00,0.0568
05/20/2024 23:48:00,0.0204
