Start time: 1716838607505
[2024-05-27 15:37:37.672820] Connecting to host 35.245.244.238, port 5201
[2024-05-27 15:37:37.673738] [  5] local 100.126.163.120 port 47124 connected to 35.245.244.238 port 5201
[2024-05-27 15:37:37.673793] [ ID] Interval           Transfer     Bitrate         Total Datagrams
[2024-05-27 15:38:46.173479] [  5]  75.00-75.50  sec   219 KBytes  3.58 Mbits/sec  160  
[2024-05-27 15:38:46.173512] [  5]  75.50-76.00  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.173545] [  5]  76.00-76.50  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.173579] [  5]  76.50-77.00  sec   191 KBytes  3.14 Mbits/sec  140  
[2024-05-27 15:38:46.173613] [  5]  77.00-77.50  sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:38:46.173648] [  5]  77.50-78.00  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.173682] [  5]  78.00-78.50  sec   232 KBytes  3.81 Mbits/sec  170  
[2024-05-27 15:38:46.173716] [  5]  78.50-79.00  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.173751] [  5]  79.00-79.50  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:38:46.173785] [  5]  79.50-80.00  sec  82.0 KBytes  1.34 Mbits/sec  60  
[2024-05-27 15:38:46.173818] [  5]  80.00-80.50  sec   383 KBytes  6.28 Mbits/sec  280  
[2024-05-27 15:38:46.173853] [  5]  80.50-81.00  sec   314 KBytes  5.15 Mbits/sec  230  
[2024-05-27 15:38:46.173886] [  5]  81.00-81.50  sec   314 KBytes  5.15 Mbits/sec  230  
[2024-05-27 15:38:46.173921] [  5]  81.50-82.00  sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:38:46.173955] [  5]  82.00-82.50  sec   123 KBytes  2.02 Mbits/sec  90  
[2024-05-27 15:38:46.173988] [  5]  82.50-83.00  sec   506 KBytes  8.29 Mbits/sec  370  
[2024-05-27 15:38:46.174021] [  5]  83.00-83.50  sec   123 KBytes  2.01 Mbits/sec  90  
[2024-05-27 15:38:46.174054] [  5]  83.50-84.00  sec   451 KBytes  7.40 Mbits/sec  330  
[2024-05-27 15:38:46.174087] [  5]  84.00-84.50  sec   369 KBytes  6.05 Mbits/sec  270  
[2024-05-27 15:38:46.174120] [  5]  84.50-85.00  sec   438 KBytes  7.17 Mbits/sec  320  
[2024-05-27 15:38:46.174154] [  5]  85.00-85.50  sec   383 KBytes  6.27 Mbits/sec  280  
[2024-05-27 15:38:46.174188] [  5]  85.50-86.00  sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:38:46.174221] [  5]  86.00-86.50  sec   410 KBytes  6.72 Mbits/sec  300  
[2024-05-27 15:38:46.174255] [  5]  86.50-87.00  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:46.174288] [  5]  87.00-87.50  sec   178 KBytes  2.91 Mbits/sec  130  
[2024-05-27 15:38:46.174321] [  5]  87.50-88.00  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.174355] [  5]  88.00-88.50  sec   355 KBytes  5.82 Mbits/sec  260  
[2024-05-27 15:38:46.174388] [  5]  88.50-89.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:38:46.174422] [  5]  89.00-89.50  sec   328 KBytes  5.38 Mbits/sec  240  
[2024-05-27 15:38:46.174455] [  5]  89.50-90.00  sec   328 KBytes  5.38 Mbits/sec  240  
[2024-05-27 15:38:46.174487] [  5]  90.00-90.50  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.174527] [  5]  90.50-91.00  sec   164 KBytes  2.69 Mbits/sec  120  
[2024-05-27 15:38:46.174563] [  5]  91.00-91.50  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.174597] [  5]  91.50-92.00  sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:38:46.174631] [  5]  92.00-92.50  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:38:46.174665] [  5]  92.50-93.00  sec   205 KBytes  3.36 Mbits/sec  150  
[2024-05-27 15:38:46.174699] [  5]  93.00-93.50  sec   219 KBytes  3.58 Mbits/sec  160  
[2024-05-27 15:38:46.174733] [  5]  93.50-94.00  sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:38:46.174767] [  5]  94.00-94.50  sec   287 KBytes  4.70 Mbits/sec  210  
[2024-05-27 15:38:46.174802] [  5]  94.50-95.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:38:46.174834] [  5]  95.00-95.50  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.174868] [  5]  95.50-96.00  sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:38:46.174901] [  5]  96.00-96.50  sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:38:46.174934] [  5]  96.50-97.00  sec   260 KBytes  4.26 Mbits/sec  190  
[2024-05-27 15:38:46.174967] [  5]  97.00-97.50  sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:46.175029] [  5]  97.50-98.00  sec   150 KBytes  2.46 Mbits/sec  110  
[2024-05-27 15:38:46.175062] [  5]  98.00-98.50  sec   410 KBytes  6.72 Mbits/sec  300  
[2024-05-27 15:38:46.175238] [  5]  98.50-99.00  sec   287 KBytes  4.70 Mbits/sec  210  
[2024-05-27 15:38:46.175271] [  5]  99.00-99.50  sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:38:46.175303] [  5]  99.50-100.00 sec   287 KBytes  4.70 Mbits/sec  210  
[2024-05-27 15:38:46.175336] [  5] 100.00-100.50 sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:38:46.175368] [  5] 100.50-101.00 sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:39:05.393062] [  5] 101.00-101.50 sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:39:05.393367] [  5] 101.50-102.00 sec   369 KBytes  6.05 Mbits/sec  270  
[2024-05-27 15:39:05.393459] [  5] 102.00-102.50 sec   314 KBytes  5.15 Mbits/sec  230  
[2024-05-27 15:39:05.393540] [  5] 102.50-103.00 sec   355 KBytes  5.82 Mbits/sec  260  
[2024-05-27 15:39:05.393615] [  5] 103.00-103.50 sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:39:05.393691] [  5] 103.50-104.00 sec   342 KBytes  5.60 Mbits/sec  250  
[2024-05-27 15:39:05.393843] [  5] 104.00-104.50 sec   287 KBytes  4.70 Mbits/sec  210  
[2024-05-27 15:39:05.393919] [  5] 104.50-105.00 sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:39:05.393992] [  5] 105.00-105.50 sec   355 KBytes  5.82 Mbits/sec  260  
[2024-05-27 15:39:05.394065] [  5] 105.50-106.00 sec   246 KBytes  4.03 Mbits/sec  180  
[2024-05-27 15:39:05.394335] [  5] 106.00-106.50 sec   355 KBytes  5.83 Mbits/sec  260  
[2024-05-27 15:39:05.394555] [  5] 106.50-107.00 sec   287 KBytes  4.70 Mbits/sec  210  
[2024-05-27 15:39:05.394775] [  5] 107.00-107.50 sec   287 KBytes  4.70 Mbits/sec  210  
[2024-05-27 15:39:05.394997] [  5] 107.50-108.00 sec   342 KBytes  5.60 Mbits/sec  250  
[2024-05-27 15:39:05.395256] [  5] 108.00-108.50 sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:39:05.395350] [  5] 108.50-109.00 sec   355 KBytes  5.82 Mbits/sec  260  
[2024-05-27 15:39:05.395425] [  5] 109.00-109.50 sec   383 KBytes  6.27 Mbits/sec  280  
[2024-05-27 15:39:05.395496] [  5] 109.50-110.00 sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:39:05.395567] [  5] 110.00-110.50 sec   355 KBytes  5.83 Mbits/sec  260  
[2024-05-27 15:39:05.395637] [  5] 110.50-111.00 sec   301 KBytes  4.93 Mbits/sec  220  
[2024-05-27 15:39:05.395817] [  5] 111.00-111.50 sec   328 KBytes  5.38 Mbits/sec  240  
[2024-05-27 15:39:05.395867] [  5] 111.50-112.00 sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:39:05.395914] [  5] 112.00-112.50 sec   273 KBytes  4.48 Mbits/sec  200  
[2024-05-27 15:39:05.395947] [  5] 112.50-113.00 sec   314 KBytes  5.15 Mbits/sec  230  
